# Analytical C(K) for STC model with ER backbone
# c = 3.000000
# f = 0.100000
# <K> = 3.900000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.059172
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
681484   0.00000000e+00   0.00144809   0.00144808   81907.84390370   336260065.83079779
744979   0.00000000e+00   0.00142347   0.00142347   88782.27184426   395009269.05588019
814390   0.00000000e+00   0.00139945   0.00139945   96239.06344741   464079607.45971066
890268   0.00000000e+00   0.00137600   0.00137600   104327.91630712   545292957.36894310
973215   0.00000000e+00   0.00135310   0.00135310   113102.76397485   640793789.37737870
1063891   0.00000000e+00   0.00133074   0.00133074   122622.37833397   753109354.52293026
1163015   0.00000000e+00   0.00130890   0.00130890   132950.32441736   885212500.13612139
1271375   0.00000000e+00   0.00128757   0.00128756   144155.84715949   1040606794.82249713
1389831   0.00000000e+00   0.00126672   0.00126672   156314.00568338   1223416530.42039919
1519324   0.00000000e+00   0.00124635   0.00124635   169506.41377719   1438500767.13042903
1660881   0.00000000e+00   0.00122644   0.00122644   183821.54810178   1691580199.31145906
1815628   0.00000000e+00   0.00120698   0.00120697   199355.84674546   1989400067.58950996
1984793   0.00000000e+00   0.00118795   0.00118795   216213.77094686   2339901791.07753515
2169719   0.00000000e+00   0.00116934   0.00116934   234508.85421271   2752443136.31267881
2371875   0.00000000e+00   0.00115115   0.00115115   254364.51521735   3238052616.46816874
2592866   0.00000000e+00   0.00113335   0.00113335   275914.74377266   3809724456.89345980
2834447   0.00000000e+00   0.00111594   0.00111594   299305.14899628   4482773722.87819481
3098537   0.00000000e+00   0.00109890   0.00109890   324693.96905471   5275252517.21737289
3387232   0.00000000e+00   0.00108224   0.00108224   352252.94969893   6208433351.23032475
3702825   0.00000000e+00   0.00106592   0.00106592   382168.85425384   7307397479.69250774
4047823   0.00000000e+00   0.00104996   0.00104996   414644.63689717   8601714659.78548241
4424965   0.00000000e+00   0.00103433   0.00103433   449900.66869733   10126241106.07972336
4837245   0.00000000e+00   0.00101903   0.00101903   488176.38466828   11922073068.04319000
5287938   0.00000000e+00   0.00100404   0.00100404   529732.14870697   14037678356.39769554
5780623   0.00000000e+00   0.00098937   0.00098937   574850.77920869   16530207449.01148224
6319213   0.00000000e+00   0.00097500   0.00097500   623839.65874943   19467062530.17133713
6907983   0.00000000e+00   0.00096092   0.00096092   677032.59095672   22927723581.93296432
7551610   0.00000000e+00   0.00094713   0.00094713   734792.66959960   27005958457.30804443
8255205   0.00000000e+00   0.00093362   0.00093362   797514.33696252   31812363804.69970703
